name,growth,growth_num,aoc,bank,commune,lat,lon,geocoder_match
Château Lafite Rothschild,Premier Cru,1,Pauillac,Left,Pauillac,45.224819,-0.773214,"Château Lafite Rothschild, Pauillac, Gironde, France"
Château Latour,Premier Cru,1,Pauillac,Left,Pauillac,45.175856,-0.744557,"Château Latour, Pauillac, Gironde, France"
Château Margaux,Premier Cru,1,Margaux,Left,Margaux,45.044436,-0.668808,"Château Margaux, Margaux, Gironde, France"
Château Haut-Brion,Premier Cru,1,Pessac-Léognan,Left,Pessac,44.814545,-0.612432,"Château Haut-Brion, Pessac, Gironde, France"
Château Mouton Rothschild,Premier Cru,1,Pauillac,Left,Pauillac,45.215278,-0.768457,"Château Mouton Rothschild, Pauillac, Gironde, France"
Château Rauzan-Ségla,Deuxième Cru,2,Margaux,Left,Margaux,45.035948,-0.675506,"Château Rauzan-Ségla, Margaux, Gironde, France"
Château Rauzan-Gassies,Deuxième Cru,2,Margaux,Left,Margaux,45.036818,-0.675104,"Château Rauzan-Gassies, Margaux, Gironde, France"
Château Léoville-Las Cases,Deuxième Cru,2,Saint-Julien,Left,Saint-Julien-Beychevelle,45.1717,-0.7488,manual: same-AOC neighbor
Château Léoville-Poyferré,Deuxième Cru,2,Saint-Julien,Left,Saint-Julien-Beychevelle,45.166,-0.748,manual: same-AOC neighbor
Château Léoville-Barton,Deuxième Cru,2,Saint-Julien,Left,Saint-Julien-Beychevelle,45.1565,-0.745,manual: same-AOC neighbor
Château Durfort-Vivens,Deuxième Cru,2,Margaux,Left,Margaux,45.040046,-0.674505,"Château Durfort-Vivens, Margaux, Gironde, France"
Château Gruaud-Larose,Deuxième Cru,2,Saint-Julien,Left,Saint-Julien-Beychevelle,45.144531,-0.750964,"Château Gruaud-Larose, Saint-Julien-Beychevelle, Gironde, France"
Château Lascombes,Deuxième Cru,2,Margaux,Left,Margaux,45.041412,-0.683781,"Château Lascombes, Margaux, Gironde, France"
Château Brane-Cantenac,Deuxième Cru,2,Margaux,Left,Cantenac,45.023934,-0.673679,"Château Brane-Cantenac, Cantenac, Gironde, France"
Château Pichon Longueville Baron,Deuxième Cru,2,Pauillac,Left,Pauillac,45.1985,-0.7492,manual: same-AOC neighbor
Château Pichon Longueville Comtesse de Lalande,Deuxième Cru,2,Pauillac,Left,Pauillac,45.175785,-0.749545,"Château Pichon Longueville Comtesse de Lalande, Pauillac, Gironde, France"
Château Ducru-Beaucaillou,Deuxième Cru,2,Saint-Julien,Left,Saint-Julien-Beychevelle,45.149083,-0.731023,"Château Ducru-Beaucaillou, Saint-Julien-Beychevelle, Gironde, France"
