chateau,aoc,growth_num,lat,lon,year,GST,GDD10,harv_rain,win_rain,sun_hours,heat_days,frost_days,dtr_aug_sep,radiation_MJ
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,19.088333333333335,1856.2749999999999,41.0,308.0,2116.0266111111114,4,0,8.697150819672132,3655.6500000000005
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1991,18.09051912568306,1599.4600000000003,128.79999999999998,415.80000000000007,2065.941688888889,3,0,8.018462295081966,3541.3499999999995
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1992,18.026584699453554,1554.3100000000002,163.1,227.39999999999998,2046.4632472222224,1,0,6.451249180327867,3482.67
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1993,17.685601092896174,1513.0199999999998,200.5,254.70000000000002,1997.184533333333,1,0,7.149609836065572,3408.2
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1994,18.222213114754098,1688.0349999999999,144.69999999999996,489.90000000000003,2065.6537305555553,1,0,5.966003278688524,3482.63
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1995,18.47357923497268,1791.44,122.19999999999999,510.5999999999999,2116.3155138888887,2,0,6.308626229508196,3607.22
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1996,17.843524590163934,1589.54,103.40000000000002,389.8,2097.2459583333334,1,0,6.982396721311473,3648.84
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1997,18.918387978142075,1834.15,148.3,311.6,2126.9651555555556,0,0,7.875839344262296,3698.8099999999995
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1998,17.99325136612022,1606.7199999999998,119.09999999999998,389.2,2001.4806416666665,4,0,7.451249180327869,3478.4900000000002
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1999,18.64844262295082,1748.395,194.1,316.20000000000005,2041.1833444444442,0,0,6.844691803278689,3426.0499999999997
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2000,18.25827868852459,1658.605,111.80000000000003,372.5,2065.98135,0,0,7.347970491803278,3432.2400000000002
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2001,18.071393442622952,1718.285,79.8,734.8,2050.318038888889,2,0,7.313544262295082,3554.3099999999995
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2002,17.657732240437156,1581.8050000000003,116.30000000000001,220.60000000000002,1988.7213194444444,0,0,6.59387213114754,3416.58
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2003,20.12166666666667,1990.5100000000002,58.099999999999994,413.4,2181.4395277777776,10,0,8.623380327868851,3714.8900000000003
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2004,18.545163934426228,1758.6299999999999,100.99999999999999,435.6,2158.6084527777775,1,0,6.5774786885245895,3654.3099999999995
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2005,19.18177595628415,1919.395,31.700000000000003,244.7,2176.3359722222226,0,0,8.195511475409836,3744.62
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2006,19.276311475409837,1939.7850000000005,136.8,420.50000000000006,2122.4542250000004,2,0,6.506986885245902,3595.24
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2007,18.20363387978142,1640.7849999999999,89.6,446.70000000000005,2044.8527222222226,1,0,7.4381344262295075,3433.87
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2008,17.47795081967213,1499.385,123.80000000000001,334.5,2043.2813666666666,0,0,6.451249180327867,3412.16
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2009,18.70090163934426,1769.5600000000002,54.1,343.6,2102.2702333333327,0,0,8.5069868852459,3586.7599999999998
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2010,18.180136612021855,1641.2199999999998,72.2,461.4,2127.2685333333334,1,0,7.487314754098362,3589.79
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2011,19.352267759562842,1906.87,96.9,375.90000000000003,2178.1089166666666,4,0,7.44469180327869,3672.17
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2012,18.21729508196721,1672.0300000000002,58.1,255.0,2100.3408833333333,1,0,7.8823967213114745,3542.4400000000005
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2013,17.948989071038252,1669.675,93.8,468.0,2009.8890500000002,0,0,7.28075737704918,3461.59
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2014,18.49707650273224,1778.0700000000004,88.10000000000001,572.4,2206.5851777777775,1,0,7.066003278688524,3643.49
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2015,18.80308743169399,1736.25,168.4,308.4,2102.123672222223,2,0,7.029937704918032,3640.9000000000005
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2016,18.69653005464481,1737.7950000000003,44.599999999999994,460.89999999999986,2055.5820222222223,4,0,8.45780655737705,3475.6499999999996
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2017,18.569207650273224,1776.06,113.2,299.70000000000005,2019.6858277777774,1,0,6.926659016393441,3565.419999999999
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2018,19.485054644808745,1910.305,49.900000000000006,506.00000000000006,2061.271666666667,2,0,9.025019672131146,3654.1000000000004
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2019,18.733142076502734,1797.3950000000002,101.1,462.0,2036.0598944444441,5,0,7.752888524590163,3613.5
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2020,19.264289617486337,1827.4150000000004,124.7,694.5,1966.2880444444447,3,0,7.890593442622951,3537.6
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2021,18.01674863387978,1615.44,98.5,534.0999999999999,2034.0548333333334,0,0,6.7168229508196715,3469.19
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2022,20.027677595628415,2119.9400000000005,55.099999999999994,377.8,2102.136513888889,10,0,8.611904918032787,3816.85
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2023,19.504180327868855,1961.105,131.0,582.5,2044.6352277777778,2,0,9.00370819672131,3675.01
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2024,17.697622950819675,1591.505,196.7,945.8,1874.2156305555557,2,0,8.05124918032787,3419.62
Château Latour,Pauillac,1,45.175856,-0.744557,1990,18.732942622950823,1782.6579999999997,41.0,308.0,2116.239486111111,2,0,9.673424590163933,3655.6500000000005
Château Latour,Pauillac,1,45.175856,-0.744557,1991,17.771193989071037,1537.1655,128.79999999999998,415.80000000000007,2066.002641666667,2,0,8.794736065573769,3541.3499999999995
Château Latour,Pauillac,1,45.175856,-0.744557,1992,17.708352459016396,1491.5,163.1,227.39999999999998,2046.6136333333332,1,0,7.425883606557378,3482.67
Château Latour,Pauillac,1,45.175856,-0.744557,1993,17.400702185792348,1455.8184999999999,200.5,254.70000000000002,1997.3394250000001,1,0,8.042277049180328,3408.2
Château Latour,Pauillac,1,45.175856,-0.744557,1994,17.962450819672135,1631.9814999999999,144.69999999999996,489.90000000000003,2065.5198333333333,1,0,6.824244262295083,3482.63
Château Latour,Pauillac,1,45.175856,-0.744557,1995,18.16518306010929,1723.7159999999994,122.19999999999999,510.5999999999999,2116.314011111111,2,0,7.201293442622953,3607.22
Château Latour,Pauillac,1,45.175856,-0.744557,1996,17.495237704918033,1513.7765,103.40000000000002,389.8,2097.354325,1,1,7.966867213114754,3648.84
Château Latour,Pauillac,1,45.175856,-0.744557,1997,18.585948087431696,1758.7555,148.3,311.6,2126.9536833333336,0,0,8.825883606557378,3698.8099999999995
Château Latour,Pauillac,1,45.175856,-0.744557,1998,17.716002732240437,1545.6580000000001,119.09999999999998,389.2,2001.4322444444447,4,0,8.307850819672131,3478.4900000000002
Château Latour,Pauillac,1,45.175856,-0.744557,1999,18.350975409836067,1680.4554999999998,194.1,316.20000000000005,2041.1651249999998,0,0,7.788178688524591,3426.0499999999997
