chateau,aoc,growth_num,lat,lon,year,centre,system,member_id,template_year,GST,GDD10,harv_rain,win_rain,sun_hours,heat_days,frost_days,dtr_aug_sep,radiation_MJ
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,0,1997,18.993325018525226,1847.4191944802358,178.94110136032106,352.8,2126.9651555555556,0,0,6.992795267896614,3698.8099999999995
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,1,2018,21.589343035905845,2295.390491660888,47.02200009971857,641.7,2061.271666666667,13,0,9.7454247869918,3654.1000000000004
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,2,2014,19.096192250487036,1887.708974653188,88.83950016200544,476.5,2206.5851777777775,1,0,7.741341152836104,3643.49
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,3,2008,19.019695501152384,1784.8248905024175,122.95759981870651,404.49999999999994,2046.465783333333,0,0,6.898387136664587,3418.6
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,4,2007,19.16356711140171,1816.4533951780445,75.21949980258941,393.59999999999997,2044.8527222222226,1,0,8.521368999608267,3433.87
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,5,2020,19.73579880044835,1916.3469221468154,261.94120693206787,552.5,1967.2295222222224,2,0,6.438754253944451,3543.8500000000004
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,6,1997,20.422891144903087,2109.0297956073837,161.78240043222905,352.8,2126.9651555555556,0,0,7.304087091518269,3698.8099999999995
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,7,2015,19.73247091806076,1906.3278685205903,214.23409968018532,261.1,2102.123672222223,5,0,6.740287081384305,3640.9000000000005
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,8,2001,18.878183493882034,1865.9281931719424,70.28940036334099,430.2,2050.318038888889,6,0,7.616700145113704,3554.3099999999995
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,9,1997,19.882343597702747,2012.3709432475666,161.8503001883626,352.8,2126.9651555555556,2,0,7.8120902403945225,3698.8099999999995
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,10,2010,18.40824580347353,1683.1076935309106,88.09159959554674,466.20000000000005,2127.2685333333334,2,0,8.304418134542802,3589.79
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,11,2024,17.567993324938797,1568.7834945539191,185.94310019612308,586.9000000000001,1873.2357916666667,2,0,7.914091944871663,3424.0299999999997
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,12,2017,20.989128845255014,2218.906320346433,120.71489992141723,339.79999999999995,2019.6858277777774,15,0,7.564042838333121,3565.419999999999
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,13,2017,18.7837392206408,1815.320019042033,87.2818002820015,339.79999999999995,2019.6858277777774,4,0,7.172534605378295,3565.419999999999
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,14,2016,19.326667098367906,1860.310743942151,34.50840010643006,464.1,2048.3202527777776,10,0,9.721431273759428,3470.25
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,15,2018,19.85966108399086,1978.858694460447,48.7826000161469,641.7,2061.271666666667,3,0,8.643001794277684,3654.1000000000004
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,16,2010,19.583767619452946,1898.085011427478,62.98420013189316,466.20000000000005,2127.2685333333334,3,0,8.502150928045921,3589.79
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,17,1998,19.788971486085853,1935.3373190213008,104.9388001680374,325.79999999999995,2001.4806416666665,10,0,7.721919841893422,3478.4900000000002
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,18,2020,20.313909740917776,2022.1412242527185,108.3377999663353,552.5,1967.2295222222224,8,0,8.85865917093445,3543.8500000000004
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,19,2008,17.10904522908754,1435.1758907145504,145.16920085549356,404.49999999999994,2046.465783333333,0,0,5.84249036590588,3418.6
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,20,2010,18.819278590992603,1758.1835192192357,62.67749990224838,466.20000000000005,2127.2685333333334,2,0,8.447716580697787,3589.79
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,21,2006,19.445109181994404,1970.6755940965056,139.31069965958594,420.7,2122.4542250000004,3,0,6.537014940698655,3595.24
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,22,2000,19.93549329312848,1969.7809631579844,131.13720059394836,548.3,2067.209486111111,4,0,8.175762456411261,3438.25
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,23,2022,19.793645792719875,2077.112819433915,66.80489981174469,444.79999999999995,2102.136513888889,6,0,7.672667345597037,3816.85
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,24,2018,20.049372573140644,2013.5950714224305,42.90040011405945,641.7,2061.271666666667,4,0,9.107400173486296,3654.1000000000004
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,25,2014,19.568247462720272,1974.0950784918703,75.56699994802476,476.5,2206.5851777777775,1,0,7.607650962655212,3643.49
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,26,2007,18.523079131339806,1699.2440948267151,95.81669993549585,393.59999999999997,2044.8527222222226,0,0,7.380619853087664,3433.87
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,27,2019,19.964097163619346,2022.3154714578118,83.60599992275239,625.9,2036.0598944444441,6,0,8.425608356321483,3613.5
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,28,2011,20.893964358051477,2189.001270337481,90.24730001911522,284.20000000000005,2178.1089166666666,5,0,8.389229616229692,3672.17
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,29,2008,17.806894960796676,1562.8823916173224,150.34169989824295,404.49999999999994,2046.465783333333,0,0,6.883837911095815,3418.6
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,30,2008,18.099906451031913,1616.5034943303708,132.12870012409985,404.49999999999994,2046.465783333333,0,0,6.166552598994326,3418.6
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,31,2001,19.25236000197257,1934.4024941525104,90.66929997205735,430.2,2050.318038888889,3,0,7.307906701476887,3554.3099999999995
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,32,1997,19.581220085211246,1956.8267406367163,186.25150089263917,352.8,2126.9651555555556,0,0,7.6194854890225745,3698.8099999999995
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,2026,ecmwf,51,33,2011,21.052322321251545,2217.9807776030934,76.86429954767227,284.20000000000005,2178.1089166666666,5,0,8.763013208547616,3672.17
