chateau,aoc,growth_num,lat,lon,year,month,tmean,tmax_mean,tmin_mean,tmax_max,tmin_min,precip_sum,sun_hours,radiation_MJ,dtr_mean,heat_days_35,frost_days_0,frost_days_m2,n_days
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,1,7.784,10.771,5.645,15.14,-1.03,55.1,199.63,173.3,5.126,0,1,0,31
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,2,11.755,14.81,9.4,21.14,3.07,67.5,186.24,210.69,5.41,0,0,0,28
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,3,11.11,15.616,7.149,23.64,1.67,7.4,322.97,477.62,8.468,0,0,0,31
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,4,11.575,14.882,8.578,24.04,4.57,75.3,297.3,493.65,6.304,0,0,0,30
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,5,18.523,22.813,14.532,26.44,12.27,47.5,382.54,675.83,8.281,0,0,0,31
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,6,18.425,21.595,15.558,29.64,11.97,42.6,319.27,589.28,6.038,0,0,0,30
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,7,22.471,27.01,18.129,37.24,12.27,32.6,399.41,736.26,8.881,3,0,0,31
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,8,23.42,28.184,19.207,35.14,14.77,11.0,396.94,671.33,8.977,1,0,0,31
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,9,19.878,24.315,15.908,28.74,11.67,30.0,320.56,489.3,8.408,0,0,0,30
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,10,16.074,19.316,13.616,26.04,8.37,147.4,233.34,294.96,5.7,0,0,0,31
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,11,10.475,12.402,8.825,16.74,4.27,85.3,157.35,154.59,3.578,0,0,0,30
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1990,12,5.152,7.59,3.39,15.44,-1.33,32.0,166.77,140.05,4.2,0,3,0,31
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1991,1,6.378,8.932,4.449,16.64,-1.63,46.9,182.85,167.26,4.484,0,6,0,31
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,1991,2,5.134,8.967,2.246,17.24,-4.03,45.6,194.33,237.82,6.721,0,10,6,28
