chateau,aoc,growth_num,lat,lon,elevation_m,dist_gironde_km,dist_atlantic_km,soil_clay_pct,soil_sand_pct,soil_silt_pct
Château Lafite Rothschild,Pauillac,1,45.224819,-0.773214,14.0,5.044715487376734,42.644092456684675,34.2,33.4,32.4
Château Latour,Pauillac,1,45.175856,-0.744557,13.0,4.959310077317168,48.26565948985207,,,
Château Margaux,Margaux,1,45.044436,-0.668808,7.0,5.513504316585299,63.54916096038486,31.8,38.9,29.3
Château Haut-Brion,Pessac-Léognan,1,44.814545,-0.612432,26.0,24.04168195252,87.77643518034061,,,
Château Mouton Rothschild,Pauillac,1,45.215278,-0.768457,24.0,5.086720528280648,43.69169735054195,,,
Château Rauzan-Ségla,Margaux,2,45.035948,-0.675506,16.0,6.563690978276531,64.03271104219243,23.7,51.0,25.3
Château Rauzan-Gassies,Margaux,2,45.036818,-0.675104,15.0,6.470591702189781,63.96999449829615,23.7,51.0,25.3
Château Léoville-Las Cases,Saint-Julien,2,45.1717,-0.7488,8.0,5.461461677182315,48.42041373527731,28.6,44.1,27.4
Château Léoville-Poyferré,Saint-Julien,2,45.166,-0.748,15.0,5.645332102263729,48.959022209340944,27.2,43.5,29.3
Château Léoville-Barton,Saint-Julien,2,45.1565,-0.745,13.0,5.824691125609848,49.94089000161904,29.0,41.6,29.4
Château Durfort-Vivens,Margaux,2,45.040046,-0.674505,15.0,6.176225908909417,63.698760645356145,,,
Château Gruaud-Larose,Saint-Julien,2,45.144531,-0.750964,21.0,6.794052497106986,50.73142942810779,30.6,41.9,27.5
Château Lascombes,Margaux,2,45.041412,-0.683781,22.0,6.6655117074437245,63.16583132493606,,,
Château Brane-Cantenac,Margaux,2,45.023934,-0.673679,15.0,7.5301719807016365,65.22560788127508,21.8,53.4,24.8
Château Pichon Longueville Baron,Pauillac,2,45.1985,-0.7492,14.0,4.340898188849739,46.09223970670867,,,
Château Pichon Longueville Comtesse de Lalande,Pauillac,2,45.175785,-0.749545,20.0,5.342793162182539,48.02751399685174,,,
Château Ducru-Beaucaillou,Saint-Julien,2,45.149083,-0.731023,4.0,5.077132088196469,51.26303315687046,36.1,30.3,33.6
Château Cos d'Estournel,Saint-Estèphe,2,45.230775,-0.775764,21.0,4.986479504046545,42.01392570695891,23.8,47.9,28.3
Château Montrose,Saint-Estèphe,2,45.246888,-0.762263,17.0,3.2724125547647116,41.4171759071804,29.7,40.1,30.2
Château Kirwan,Margaux,3,45.027117,-0.658418,12.0,6.492454762767516,65.59948956816828,34.3,38.1,27.6
Château d'Issan,Margaux,3,45.037849,-0.658199,4.0,5.567407979514357,64.6270813145949,36.3,33.7,30.0
Château Lagrange,Saint-Julien,3,45.149425,-0.773258,17.0,8.284300521719484,49.27634499249829,24.3,49.4,26.3
Château Langoa-Barton,Saint-Julien,3,45.157334,-0.740015,15.0,5.408584584631041,50.10509266666712,29.4,43.8,26.8
Château Giscours,Margaux,3,45.008894,-0.646434,9.0,7.144532554203867,67.80602288771586,27.2,49.0,23.8
Château Malescot St. Exupéry,Margaux,3,45.040639,-0.675711,15.0,6.19590950658733,63.59096339722429,,,
Château Boyd-Cantenac,Margaux,3,45.022756,-0.655811,7.0,6.664899416511685,66.11579863357153,33.3,35.9,30.8
Château Cantenac-Brown,Margaux,3,45.027178,-0.67881,18.0,7.4780640520345605,64.70261615400818,20.9,55.1,24.0
Château Palmer,Margaux,3,45.036693,-0.669282,19.0,6.183171330974094,64.23807229220972,23.8,52.8,23.4
Château La Lagune,Haut-Médoc,3,44.978921,-0.617486,12.0,7.636539269455824,71.84394676335108,22.9,48.7,28.4
Château Desmirail,Margaux,3,45.028202,-0.653791,8.0,6.117930222351841,65.70612449007021,,,
